Datetime,Open,High,Low,Close,Adj Close,Volume
2024-05-09 09:30:00-04:00,182.55999755859375,182.72000122070312,182.39999389648438,182.67999267578125,182.67999267578125,1058096
2024-05-09 09:31:00-04:00,182.66000366210938,182.7100067138672,182.14999389648438,182.1699981689453,182.1699981689453,179851
2024-05-09 09:32:00-04:00,182.16000366210938,182.41000366210938,182.1199951171875,182.28500366210938,182.28500366210938,182959
2024-05-09 09:33:00-04:00,182.27749633789062,182.60000610351562,182.22999572753906,182.52499389648438,182.52499389648438,204467
2024-05-09 09:34:00-04:00,182.52999877929688,182.57000732421875,182.41009521484375,182.43429565429688,182.43429565429688,122116
2024-05-09 09:35:00-04:00,182.41000366210938,182.86000061035156,182.32479858398438,182.86000061035156,182.86000061035156,219243
2024-05-09 09:36:00-04:00,182.8665008544922,183.14990234375,182.6999969482422,183.035400390625,183.035400390625,293605
2024-05-09 09:37:00-04:00,183.0330047607422,183.3000030517578,183.02000427246094,183.22000122070312,183.22000122070312,314915
2024-05-09 09:38:00-04:00,183.22000122070312,183.22999572753906,183.0399932861328,183.1699981689453,183.1699981689453,134235
2024-05-09 09:39:00-04:00,183.18789672851562,183.19000244140625,182.92999267578125,182.92999267578125,182.92999267578125,157912
2024-05-09 09:40:00-04:00,182.9340057373047,183.08999633789062,182.80999755859375,183.07000732421875,183.07000732421875,129080
2024-05-09 09:41:00-04:00,183.07000732421875,183.17880249023438,183.0399932861328,183.11000061035156,183.11000061035156,151455
2024-05-09 09:42:00-04:00,183.10000610351562,183.33999633789062,183.01010131835938,183.33270263671875,183.33270263671875,275648
2024-05-09 09:43:00-04:00,183.33999633789062,183.3498992919922,183.13999938964844,183.1873016357422,183.1873016357422,217548
2024-05-09 09:44:00-04:00,183.17999267578125,183.1999969482422,183.0596923828125,183.14500427246094,183.14500427246094,111706
2024-05-09 09:45:00-04:00,183.13999938964844,183.3300018310547,183.08999633789062,183.24000549316406,183.24000549316406,190674
2024-05-09 09:46:00-04:00,183.25,183.3300018310547,183.19000244140625,183.3184051513672,183.3184051513672,133938
2024-05-09 09:47:00-04:00,183.30999755859375,183.43899536132812,183.28500366210938,183.3000030517578,183.3000030517578,175356
2024-05-09 09:48:00-04:00,183.30999755859375,183.33999633789062,183.13999938964844,183.2729034423828,183.2729034423828,196327
2024-05-09 09:49:00-04:00,183.27000427246094,183.3699951171875,183.27000427246094,183.3699951171875,183.3699951171875,140410
2024-05-09 09:50:00-04:00,183.35000610351562,183.53640747070312,183.3000030517578,183.52000427246094,183.52000427246094,250928
2024-05-09 09:51:00-04:00,183.52499389648438,183.63999938964844,183.49000549316406,183.60000610351562,183.60000610351562,182372
2024-05-09 09:52:00-04:00,183.60009765625,183.64999389648438,183.49000549316406,183.5050048828125,183.5050048828125,257456
2024-05-09 09:53:00-04:00,183.5050048828125,183.61000061035156,183.49009704589844,183.60989379882812,183.60989379882812,149807
2024-05-09 09:54:00-04:00,183.60000610351562,183.74000549316406,183.58999633789062,183.74000549316406,183.74000549316406,203205
2024-05-09 09:55:00-04:00,183.73500061035156,183.82989501953125,183.60000610351562,183.61500549316406,183.61500549316406,192345
2024-05-09 09:56:00-04:00,183.61000061035156,183.6300048828125,183.52000427246094,183.5500030517578,183.5500030517578,118332
2024-05-09 09:57:00-04:00,183.53990173339844,183.66000366210938,183.53990173339844,183.65989685058594,183.65989685058594,110855
2024-05-09 09:58:00-04:00,183.65499877929688,183.80999755859375,183.65499877929688,183.7050018310547,183.7050018310547,159265
2024-05-09 09:59:00-04:00,183.6999969482422,183.77999877929688,183.6999969482422,183.75,183.75,101577
2024-05-09 10:00:00-04:00,183.75,183.75999450683594,183.57000732421875,183.66000366210938,183.66000366210938,127854
2024-05-09 10:01:00-04:00,183.6699981689453,183.72500610351562,183.57000732421875,183.63999938964844,183.63999938964844,173688
