Ticker,Date,Article title,Article sentiment
MULN,2024-05-07T13:30:00.000Z,Bollinger Motors Taps Amerit Fleet Solutions for Mobile Service & Warranty for the Company's B4 All-Electric Class 4 Commercial Truck,neutral
MULN,2024-05-07T13:00:00.000Z,Mullen Announces Bollinger Motors Taps Amerit Fleet Solutions for Mobile Service and Warranty for the Company’s B4 All-Electric Class 4 Commercial Truck,neutral
MULN,2024-05-06T14:02:16.000Z,Mullen Automotive Adds Commercial Dealer National Auto Fleet Group,neutral
MULN,2024-05-06T13:15:00.000Z,"Mullen Signs Agreement with California Based and HVIP Approved, National Auto Fleet Group",neutral
MULN,2024-05-06T13:00:00.000Z,Mullen Announces Adoption of Limited Duration Stockholder Rights Plan,neutral
MULN,2024-05-02T13:00:00.000Z,Pritchard EV and Mobile Road Service Solutions Debut All Electric Mullen ONE Roadside Assistance Vehicle at American Towman Showcase in Las Vegas,neutral
MULN,2024-05-01T13:00:00.000Z,"Mullen Adds One of the Largest US Commercial Dealers, Pritchard EV, to Dealer Network",positive
MULN,2024-04-30T12:13:36.000Z,"Exchange-Traded Funds, Equity Futures Lower Pre-Bell Tuesday Ahead of FOMC Meeting",neutral
